MAROLLES-EN-BEAUCE;91150;91374
TREUZY-LEVELAY;77710;77473
SAINT-LEGER-EN-YVELINES;78610;78562
LIMOGES-FOURCHES;77550;77252
LOUAN-VILLEGRUIS-FONTAINE;77560;77262
SOUPPES-SUR-LOING;77460;77458
BASSEVELLE;77750;77024
GREZ-SUR-LOING;77880;77216
LASSY;95270;95331
CHAMPCUEIL;91750;91135
TIGEAUX;77163;77466
PUISEUX-EN-FRANCE;95380;95509
MOISENAY;77950;77295
BREUX-JOUY;91650;91106
SAINT-CYR-LA-RIVIERE;91690;91544
CHATEAU-LANDON;77570;77099
VINANTES;77230;77525
BONNEUIL-EN-FRANCE;95500;95088
THOIRY;78770;78616
LIMEIL-BREVANNES;94450;94044
LA VERRIERE;78320;78644
VAUDHERLAND;95500;95633
JAMBVILLE;78440;78317
CHAUSSY;95710;95150
LE BLANC-MESNIL;93150;93007
VERNEUIL-SUR-SEINE;78480;78642
LIEUSAINT;77127;77251
SAINT-FORGET;78720;78548
ANGERVILLIERS;91470;91017
BELLOY-EN-FRANCE;95270;95056
ABBEVILLE-LA-RIVIERE;91150;91001
GRISY-LES-PLATRES;95810;95287
CHAUFOUR-LES-BONNIERES;78270;78147
MITRY-MORY;77290;77294
MAROLLES-EN-HUREPOIX;91630;91376
THIAIS;94320;94073
GOUZANGREZ;95450;95282
DAMMARIE-LES-LYS;77190;77152
VENDREST;77440;77490
TACOIGNIERES;78910;78605
FREMECOURT;95830;95254
GARENTREVILLE;77890;77200
LA HAUTE-MAISON;77580;77225
DAMPIERRE-EN-YVELINES;78720;78193
BOMBON;77720;77044
BUSSY-SAINT-GEORGES;77600;77058
PALAISEAU;91120;91477
BOISSY-LA-RIVIERE;91690;91079
PRINGY;77310;77378
SAINT-MAUR-DES-FOSSES;94100/94210;94068
MONTMACHOUX;77940;77313
MALAKOFF;92240;92046
DORMELLES;77130;77161
LES GRANGES-LE-ROI;91410;91284
GOMETZ-LA-VILLE;91400;91274
LA CROIX-EN-BRIE;77370;77147
MONTGERON;91230;91421
CHARTRONGES;77320;77097
MONTMORENCY;95160;95428
PARIS-11E-ARRONDISSEMENT;75011;75111
FORFRY;77165;77193
VALENCE-EN-BRIE;77830;77480
MONTLIGNON;95680;95426
BOUGIVAL;78380;78092
SAINT-LAMBERT;78470;78561
HARGEVILLE;78790;78300
VILLEPREUX;78450;78674
LA CHAPELLE-EN-VEXIN;95420;95139
LA CHAPELLE-MOUTILS;77320;77093
CHAMPCENEST;77560;77080
MONTALET-LE-BOIS;78440;78416
VILLIERS-SUR-SEINE;77114;77522
FAY-LES-NEMOURS;77167;77178
MEREVILLE;91660;91390
BOISSY-AUX-CAILLES;77760;77041
EPISY;77250;77170
SOUZY-LA-BRICHE;91580;91602
ROMAINVILLE;93230;93063
CARRIERES-SOUS-POISSY;78955;78123
LES LOGES-EN-JOSAS;78350;78343
FONTENAY-SAINT-PERE;78440;78246
SAINT-MAURICE-MONTCOURONNE;91530;91568
JUZIERS;78820;78327
CHEPTAINVILLE;91630;91156
VERT-LE-PETIT;91710;91649
CHAMPEAUX;77720;77082
MULCENT;78790;78439
BEAUMONT-SUR-OISE;95260;95052
FLINS-NEUVE-EGLISE;78790;78237
JANVRY;91640;91319
CONDECOURT;95450;95170
NEAUPHLE-LE-VIEUX;78640;78443
BREUILLET;91650;91105
BAZEMONT;78580;78049
FRETOY;77320;77197
ACHERES;78260;78005
GARANCIERES;78890;78265
SAINT-SIMEON;77169;77436
MERE;78490;78389
FLEURY-EN-BIERE;77930;77185
L'ISLE-ADAM;95290;95313
GOUVERNES;77400;77209
AUBEPIERRE-OZOUER-LE-REPOS;77720;77010
SAINT-MESMES;77410;77427
LES CLAYES-SOUS-BOIS;78340;78165
BALLOY;77118;77019
GADANCOURT;95450;95259
SAINT-AUGUSTIN;77515;77400
VILLEBEON;77710;77500
SAINT-ILLIERS-LE-BOIS;78980;78559
CHATENOY;77167;77102
TRIEL-SUR-SEINE;78510;78624
LAINVILLE-EN-VEXIN;78440;78329
VILLENEUVE-LE-ROI;94290;94077
MILON-LA-CHAPELLE;78470;78406
MELUN;77000;77288
LINAS;91310;91339
LA BOISSIERE-ECOLE;78125;78077
LONGVILLIERS;78730;78349
LOGNES;77185;77258
BOISDON;77970;77036
SAINT-MARD;77230;77420
NOISY-LE-GRAND;93160;93051
BOURAY-SUR-JUINE;91850;91095
HOUILLES;78800;78311
COURPALAY;77540;77135
LE PERREUX-SUR-MARNE;94170;94058
DAVRON;78810;78196
CHAMARANDE;91730;91132
LONGPERRIER;77230;77259
NANTEAU-SUR-ESSONNE;77760;77328
SUCY-EN-BRIE;94370;94071
GURCY-LE-CHATEL;77520;77223
MAISSE;91720;91359
NEUILLY-SUR-MARNE;93330;93050
LAGNY-SUR-MARNE;77400;77243
CHAUMONTEL;95270;95149
BONDOUFLE;91070;91086
MELZ-SUR-SEINE;77171;77289
COUTENCON;77154;77140
SAINT-PRIX;95390;95574
MAREIL-MARLY;78750;78367
GASTINS;77370;77201
LE MESNIL-SAINT-DENIS;78320;78397
MONNERVILLE;91930;91414
BRETIGNY-SUR-ORGE;91220;91103
COMPANS;77290;77123
RUBELLES;77950;77394
THIVERVAL-GRIGNON;78850;78615
CHAUFFRY;77169;77106
COURDIMANCHE;95800;95183
PARIS-6E-ARRONDISSEMENT;75006;75106
LA FERTE-SOUS-JOUARRE;77260;77183
EPONE;78680;78217
VILLIERS-SAINT-GEORGES;77560;77519
SAINT-HILARION;78125;78557
MAULE;78580;78380
POISSY;78300;78498
NUCOURT;95420;95459
CRISENOY;77390;77145
BEAUMONT-DU-GATINAIS;77890;77027
BOISSISE-LA-BERTRAND;77350;77039
GUIGNES;77390;77222
SAINT-JEAN-DE-BEAUREGARD;91940;91560
CREGY-LES-MEAUX;77124;77143
RAIZEUX;78125;78516
FAREMOUTIERS;77515;77176
LESIGNY;77150;77249
LIMAY;78520;78335
LA FALAISE;78410;78230
SAGY;95450;95535
NOISY-SUR-OISE;95270;95456
VOISENON;77950;77528
COUPVRAY;77700;77132
CHAMPLAN;91160;91136
CHATILLON-LA-BORDE;77820;77103
LA FORET-SAINTE-CROIX;91150;91248
PARAY-DOUAVILLE;78660;78478
TOUSSON;77123;77471
VILLENEUVE-LE-COMTE;77174;77508
GUIGNEVILLE-SUR-ESSONNE;91590;91293
SAINT-OUEN-SUR-MORIN;77750;77429
DHUISY;77440;77157
LE HEAULME;95640;95303
MOURS;95260;95436
MAREIL-SUR-MAULDRE;78124;78368
SAINT-FIACRE;77470;77408
LA ROCHE-GUYON;95780;95523
BONDY;93140;93010
TOURNAN-EN-BRIE;77220;77470
EAUBONNE;95600;95203
LA VILLE-DU-BOIS;91620;91665
DARVAULT;77140;77156
VILLIERS-LE-SEC;95720;95682
GOUAIX;77114;77208
THEMERICOURT;95450;95610
POIGNY;77160;77368
BEHOUST;78910;78053
CRETEIL;94000;94028
GOURNAY-SUR-MARNE;93460;93033
CHELLES;77500;77108
VILLENEUVE-LA-GARENNE;92390;92078
PONTHEVRARD;78730;78499
MAUDETOUR-EN-VEXIN;95420;95379
MORTCERF;77163;77318
MONTIGNY-SUR-LOING;77690;77312
JANVILLE-SUR-JUINE;91510;91318
ORCEMONT;78125;78464
OBSONVILLE;77890;77342
PENCHARD;77124;77358
LES ECRENNES;77820;77165
BUSSIERES;77750;77057
SERRIS;77700;77449
LE RAINCY;93340;93062
COUTEVROULT;77580;77141
DOURDAN;91410;91200
PARIS-13E-ARRONDISSEMENT;75013;75113
FLEXANVILLE;78910;78236
LECHELLE;77171;77246
NEZEL;78410;78451
CHALAUTRE-LA-PETITE;77160;77073
AUGERS-EN-BRIE;77560;77012
SAINT-CLAIR-SUR-EPTE;95770;95541
SOISY-SUR-ECOLE;91840;91599
GERMIGNY-L'EVEQUE;77910;77203
MONTFERMEIL;93370;93047
LIVRY-GARGAN;93190;93046
VILLEMAREUIL;77470;77505
SAINTE-COLOMBE;77650;77404
NOISY-LE-SEC;93130;93053
MONTLHERY;91310;91425
JUVISY-SUR-ORGE;91260;91326
MANDRES-LES-ROSES;94520;94047
ROSAY;78790;78530
CHOISY-LE-ROI;94600;94022
SERVON;77170;77450
RUNGIS;94150;94065
BRUNOY;91800;91114
GUERMANTES;77600;77221
LIMETZ-VILLEZ;78270;78337
ANNET-SUR-MARNE;77410;77005
LE PLESSIS-ROBINSON;92350;92060
VOULTON;77560;77530
TRAPPES;78190;78621
MEAUX;77100;77284
VAUX-SUR-LUNAIN;77710;77489
FUBLAINES;77470;77199
NANTEUIL-SUR-MARNE;77730;77331
CHAUMES-EN-BRIE;77390;77107
VELIZY-VILLACOUBLAY;78140;78640
DIANT;77940;77158
SANNOIS;95110;95582
NOZAY;91620;91458
GROSLAY;95410;95288
BAULNE;91590;91047
MAREIL-LE-GUYON;78490;78366
MONTESSON;78360;78418
ADAINVILLE;78113;78006
HEROUVILLE;95300;95308
USSY-SUR-MARNE;77260;77478
EVERLY;77157;77174
SAINT-MARS-VIEUX-MAISONS;77320;77421
EPINAY-SUR-ORGE;91360;91216
GIF-SUR-YVETTE;91190;91272
JOUARRE;77640;77238
LA NORVILLE;91290;91457
FONTAINE-FOURCHES;77480;77187
CHAINTREAUX;77460;77071
BRIGNANCOURT;95640;95110
SANCY;77580;77443
THENISY;77520;77461
MONDREVILLE;77570;77297
MERY-SUR-MARNE;77730;77290
BULLION;78830;78120
CHEVRY-EN-SEREINE;77710;77115
PARAY-VIEILLE-POSTE;91550;91479
CELY;77930;77065
LE PIN;77181;77363
LE MESNIL-AMELOT;77990;77291
